City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,antonio enes,-16.2325,39.9086,73.76,90,49,6.82,MZ,1706320542
83,moissala,8.3404,17.7663,69.58,27,41,5.53,TD,1706320542
84,saldanha,-33.0117,17.9442,60.85,96,100,6.71,ZA,1706320542
85,ilulissat,69.2167,-51.1,-2.18,42,100,6.91,GL,1706320542
86,nogliki,51.8333,143.1667,10.35,92,100,11.01,RU,1706320543
87,keflavik,64.0049,-22.5624,30.11,86,75,36.82,IS,1706320543
88,saint croix,17.7397,-64.7388,77.45,75,0,11.5,VI,1706320543
89,novyy oskol,50.7631,37.8691,32.59,99,100,1.41,RU,1706320543
90,namdrik,5.5994,168.1028,81.68,75,100,13.38,MH,1706320543
91,bettiah,26.8,84.5,49.39,62,98,2.3,IN,1706320543
92,north bend,43.4065,-124.2243,58.15,94,100,10.36,US,1706320523
93,west island,-12.1568,96.8225,84.18,84,75,5.75,CC,1706320543
94,haiku-pauwela,20.9219,-156.3051,80.17,70,100,12.66,US,1706320544
95,stanley,54.868,-1.6985,43.52,88,20,9.22,GB,1706320544
96,crane,31.3974,-102.3501,56.03,43,44,11.12,US,1706320544
97,luderitz,-26.6481,15.1594,67.03,74,0,6.67,NA,1706320544
98,al kharj,24.155,47.3346,68.58,48,49,5.66,SA,1706320544
99,port elizabeth,-33.918,25.5701,72.1,90,100,13.8,ZA,1706320454
100,georgetown,5.4112,100.3354,84.13,76,20,9.22,MY,1706320385
101,cockburn town,21.4612,-71.1419,73.36,83,40,13.8,TC,1706320545
102,morant bay,17.8815,-76.4093,78.42,85,8,10.47,JM,1706320545
103,warrenton,-28.114,24.8475,74.43,42,100,9.4,ZA,1706320545
104,plainview,40.7765,-73.4673,44.74,91,100,6.91,US,1706320545
105,anamur,36.0751,32.8369,46.18,58,0,10.36,TR,1706320545
106,vorgashor,67.5833,63.95,9.55,96,96,6.67,RU,1706320546
107,kupino,54.3663,77.2981,2.03,95,76,8.66,RU,1706320546
108,eydhafushi,5.1033,73.0708,81.73,70,69,18.34,MV,1706320546
109,shambu,9.5667,37.1,55.35,61,99,0.89,ET,1706320546
110,al bayda',32.7627,21.7551,47.53,83,66,14.52,LY,1706320546
111,isafjordur,66.0755,-23.124,23.16,89,77,9.55,IS,1706320546
112,fernandopolis,-20.2839,-50.2464,68.77,62,3,7.18,BR,1706320546
113,jiquilisco,13.3167,-88.5833,79.65,69,0,2.98,SV,1706320546
114,vilyuchinsk,52.9306,158.4028,25.07,84,100,3.06,RU,1706320547
115,chipinge,-20.1883,32.6236,56.59,79,0,2.82,ZW,1706320547
116,pemba,-12.974,40.5178,75.49,86,100,6.29,MZ,1706320547
117,west valley,46.5921,-120.6051,35.82,94,100,3.44,US,1706320547
118,male,4.1748,73.5089,82.35,74,20,17.27,MV,1706320547
119,anadyr,64.75,177.4833,-25.01,74,20,11.18,RU,1706320547
120,touros,-5.1989,-35.4608,81.14,78,93,10.45,BR,1706320547
121,st. john's,47.5649,-52.7093,21.97,80,75,26.46,CA,1706320547
122,hongwon,40.0253,127.9558,30.24,67,6,1.21,KP,1706320548
123,makokou,0.5738,12.8642,74.08,69,75,2.75,GA,1706320548
